"Step","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_avg_loss","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_avg_loss__MIN","vit-base16-imagenet-pretrain-bs1600-lr1.6e-3 - train/epoch_avg_loss__MAX"
"553","6.237412709593216","6.237412709593216","6.237412709593216"
"1106","5.493283482907675","5.493283482907675","5.493283482907675"
"1659","5.238918400113005","5.238918400113005","5.238918400113005"
"2212","5.280489179458858","5.280489179458858","5.280489179458858"
"2765","5.163107439573304","5.163107439573304","5.163107439573304"
"3318","4.852464009197466","4.852464009197466","4.852464009197466"
"3871","4.511776480620642","4.511776480620642","4.511776480620642"
"4424","4.234846208016152","4.234846208016152","4.234846208016152"
"4977","3.9774701184146837","3.9774701184146837","3.9774701184146837"
"5530","3.734795558595281","3.734795558595281","3.734795558595281"
"6083","3.513716303101117","3.513716303101117","3.513716303101117"
"6636","3.3256611140141366","3.3256611140141366","3.3256611140141366"
"7189","3.1655446868043593","3.1655446868043593","3.1655446868043593"
"7742","3.0192598456036905","3.0192598456036905","3.0192598456036905"
"8295","2.8899165422177133","2.8899165422177133","2.8899165422177133"
"8848","2.7632348861110954","2.7632348861110954","2.7632348861110954"
"9401","2.6424117598506514","2.6424117598506514","2.6424117598506514"
"9954","2.530998541699455","2.530998541699455","2.530998541699455"
"10507","2.426722107740937","2.426722107740937","2.426722107740937"
"11060","2.329431146399307","2.329431146399307","2.329431146399307"
"11613","2.2423866979976603","2.2423866979976603","2.2423866979976603"
"12166","2.161620675035086","2.161620675035086","2.161620675035086"
"12719","2.079936947397717","2.079936947397717","2.079936947397717"
"13272","2.0079331860438274","2.0079331860438274","2.0079331860438274"
"13825","1.9405792982210022","1.9405792982210022","1.9405792982210022"
"14378","1.872986621215564","1.872986621215564","1.872986621215564"
"14931","1.8118695122099515","1.8118695122099515","1.8118695122099515"
"15484","1.7500865681582982","1.7500865681582982","1.7500865681582982"
"16037","1.6940531394270042","1.6940531394270042","1.6940531394270042"
"16590","1.6453910831805654","1.6453910831805654","1.6453910831805654"
"17143","1.591202723711128","1.591202723711128","1.591202723711128"
"17696","1.5475227779738079","1.5475227779738079","1.5475227779738079"
"18249","1.5015000196985029","1.5015000196985029","1.5015000196985029"
"18802","1.4643521424556525","1.4643521424556525","1.4643521424556525"
"19355","1.4254867863993057","1.4254867863993057","1.4254867863993057"
"19908","1.3953895696546599","1.3953895696546599","1.3953895696546599"
"20461","1.3565145090183992","1.3565145090183992","1.3565145090183992"
"21014","1.327833429411076","1.327833429411076","1.327833429411076"
"21567","1.3004663274233064","1.3004663274233064","1.3004663274233064"
"22120","1.2772408022195312","1.2772408022195312","1.2772408022195312"
"22673","1.2533533470714902","1.2533533470714902","1.2533533470714902"
"23226","1.2281062856775706","1.2281062856775706","1.2281062856775706"
"23779","1.2130104580749341","1.2130104580749341","1.2130104580749341"
"24332","1.192469716183389","1.192469716183389","1.192469716183389"
"24885","1.1745298335930185","1.1745298335930185","1.1745298335930185"
"25438","1.1559890278078577","1.1559890278078577","1.1559890278078577"
"25991","1.1468430421343145","1.1468430421343145","1.1468430421343145"
"26544","1.1269715772272657","1.1269715772272657","1.1269715772272657"
"27097","1.1110937456234273","1.1110937456234273","1.1110937456234273"
"27650","1.1012250975187965","1.1012250975187965","1.1012250975187965"
"28203","1.0845399757356167","1.0845399757356167","1.0845399757356167"
"28756","1.0732861146677823","1.0732861146677823","1.0732861146677823"
"29309","1.0658099657711497","1.0658099657711497","1.0658099657711497"
"29862","1.0534827689500117","1.0534827689500117","1.0534827689500117"
"30415","1.0416821568451324","1.0416821568451324","1.0416821568451324"
"30968","1.0287474469027102","1.0287474469027102","1.0287474469027102"
"31521","1.0241481049796186","1.0241481049796186","1.0241481049796186"
"32074","1.0139342272682688","1.0139342272682688","1.0139342272682688"
"32627","1.005080777052704","1.005080777052704","1.005080777052704"
"33180","0.9958414661895438","0.9958414661895438","0.9958414661895438"
"33733","0.986635706833714","0.986635706833714","0.986635706833714"
"34286","0.9782528689116542","0.9782528689116542","0.9782528689116542"
"34839","0.9664293684579081","0.9664293684579081","0.9664293684579081"
"35392","0.9607317540721355","0.9607317540721355","0.9607317540721355"
"35945","0.9563759952514593","0.9563759952514593","0.9563759952514593"
"36498","0.9466281619571288","0.9466281619571288","0.9466281619571288"
"37051","0.9410972941310681","0.9410972941310681","0.9410972941310681"
"37604","0.9331236314959745","0.9331236314959745","0.9331236314959745"
"38157","0.9230550042883304","0.9230550042883304","0.9230550042883304"
"38710","0.9226272949182673","0.9226272949182673","0.9226272949182673"
"39263","0.9177648062765762","0.9177648062765762","0.9177648062765762"
"39816","0.907841535667995","0.907841535667995","0.907841535667995"
"40369","0.8975907968003523","0.8975907968003523","0.8975907968003523"
"40922","0.8936185082386714","0.8936185082386714","0.8936185082386714"
"41475","0.8874101764738966","0.8874101764738966","0.8874101764738966"
"42028","0.8840400157724796","0.8840400157724796","0.8840400157724796"
"42581","0.8761854212194301","0.8761854212194301","0.8761854212194301"
"43134","0.868731941401181","0.868731941401181","0.868731941401181"
"43687","0.8665814467515032","0.8665814467515032","0.8665814467515032"
"44240","0.8611260036949566","0.8611260036949566","0.8611260036949566"
"44793","0.8512428546890866","0.8512428546890866","0.8512428546890866"
"45346","0.8483369579809117","0.8483369579809117","0.8483369579809117"
"45899","0.8440147101890925","0.8440147101890925","0.8440147101890925"
"46452","0.8410731989273619","0.8410731989273619","0.8410731989273619"
"47005","0.8342249272864201","0.8342249272864201","0.8342249272864201"
"47558","0.8282719999505396","0.8282719999505396","0.8282719999505396"
"48111","0.8254255334799323","0.8254255334799323","0.8254255334799323"
"48664","0.8196114833574932","0.8196114833574932","0.8196114833574932"
"49217","0.8124051022110684","0.8124051022110684","0.8124051022110684"
"49770","0.8092084933925362","0.8092084933925362","0.8092084933925362"
"50323","0.8051346066504488","0.8051346066504488","0.8051346066504488"
"50876","0.7972303917998049","0.7972303917998049","0.7972303917998049"
"51429","0.7921121538628126","0.7921121538628126","0.7921121538628126"
"51982","0.7893570749544414","0.7893570749544414","0.7893570749544414"
"52535","0.782697803941839","0.782697803941839","0.782697803941839"
"53088","0.7812633069970829","0.7812633069970829","0.7812633069970829"
"53641","0.7753502586662805","0.7753502586662805","0.7753502586662805"
"54194","0.7678664267321169","0.7678664267321169","0.7678664267321169"
"54747","0.766603348333949","0.766603348333949","0.766603348333949"
"55300","0.760027416499244","0.760027416499244","0.760027416499244"
"55853","0.7561910369904644","0.7561910369904644","0.7561910369904644"
"56406","0.7502624557276848","0.7502624557276848","0.7502624557276848"
"56959","0.7498250655821264","0.7498250655821264","0.7498250655821264"
"57512","0.7443868524081854","0.7443868524081854","0.7443868524081854"
"58065","0.7401809742150322","0.7401809742150322","0.7401809742150322"
"58618","0.7362322219360584","0.7362322219360584","0.7362322219360584"
"59171","0.732344794200184","0.732344794200184","0.732344794200184"
"59724","0.7259501649585762","0.7259501649585762","0.7259501649585762"
"60277","0.7193348971006978","0.7193348971006978","0.7193348971006978"
"60830","0.7161707036770372","0.7161707036770372","0.7161707036770372"
"61383","0.7106373659186852","0.7106373659186852","0.7106373659186852"
"61936","0.709565130931272","0.709565130931272","0.709565130931272"
"62489","0.7039257665021551","0.7039257665021551","0.7039257665021551"
"63042","0.7003235596045841","0.7003235596045841","0.7003235596045841"
"63595","0.694803231052823","0.694803231052823","0.694803231052823"
"64148","0.6911480671342259","0.6911480671342259","0.6911480671342259"
"64701","0.6894252055101395","0.6894252055101395","0.6894252055101395"
"65254","0.6850255010178143","0.6850255010178143","0.6850255010178143"
"65807","0.6763128134369382","0.6763128134369382","0.6763128134369382"
"66360","0.6746464484303181","0.6746464484303181","0.6746464484303181"
"66913","0.6695290551901207","0.6695290551901207","0.6695290551901207"
"67466","0.6642876635908362","0.6642876635908362","0.6642876635908362"
"68019","0.6613299418557524","0.6613299418557524","0.6613299418557524"
"68572","0.6599152507166895","0.6599152507166895","0.6599152507166895"
"69125","0.6544804953120275","0.6544804953120275","0.6544804953120275"
"69678","0.6495795872530332","0.6495795872530332","0.6495795872530332"
"70231","0.6443181800538047","0.6443181800538047","0.6443181800538047"
"70784","0.6414866886097631","0.6414866886097631","0.6414866886097631"
"71337","0.6375857401767078","0.6375857401767078","0.6375857401767078"
"71890","0.6332362301718706","0.6332362301718706","0.6332362301718706"
"72443","0.628658787691441","0.628658787691441","0.628658787691441"