"Step","cnn-ep100-56-layers-data-augmentation - train_loss","cnn-ep100-56-layers-data-augmentation - train_loss__MIN","cnn-ep100-56-layers-data-augmentation - train_loss__MAX","cnn-ep100-32-layers-data-augmentation - train_loss","cnn-ep100-32-layers-data-augmentation - train_loss__MIN","cnn-ep100-32-layers-data-augmentation - train_loss__MAX","cnn-ep100-20-layers-data-augmentation - train_loss","cnn-ep100-20-layers-data-augmentation - train_loss__MIN","cnn-ep100-20-layers-data-augmentation - train_loss__MAX"
"49","2.1272499561309814","2.1272499561309814","2.1272499561309814","1.8347194194793701","1.8347194194793701","1.8347194194793701","1.6770706176757812","1.6770706176757812","1.6770706176757812"
"98","1.8768478631973267","1.8768478631973267","1.8768478631973267","1.4944500923156738","1.4944500923156738","1.4944500923156738","1.2583272457122803","1.2583272457122803","1.2583272457122803"
"147","1.7644903659820557","1.7644903659820557","1.7644903659820557","1.309949278831482","1.309949278831482","1.309949278831482","1.0308789014816284","1.0308789014816284","1.0308789014816284"
"196","1.6757667064666748","1.6757667064666748","1.6757667064666748","1.1398580074310303","1.1398580074310303","1.1398580074310303","0.8930631279945374","0.8930631279945374","0.8930631279945374"
"245","1.6038914918899536","1.6038914918899536","1.6038914918899536","1.0169626474380493","1.0169626474380493","1.0169626474380493","0.7889626622200012","0.7889626622200012","0.7889626622200012"
"294","1.519498348236084","1.519498348236084","1.519498348236084","0.957728922367096","0.957728922367096","0.957728922367096","0.7049716114997864","0.7049716114997864","0.7049716114997864"
"343","1.4441813230514526","1.4441813230514526","1.4441813230514526","0.8949187994003296","0.8949187994003296","0.8949187994003296","0.629391074180603","0.629391074180603","0.629391074180603"
"392","1.3552896976470947","1.3552896976470947","1.3552896976470947","0.8371751308441162","0.8371751308441162","0.8371751308441162","0.5671051740646362","0.5671051740646362","0.5671051740646362"
"441","1.2766509056091309","1.2766509056091309","1.2766509056091309","0.7796556949615479","0.7796556949615479","0.7796556949615479","0.5293195247650146","0.5293195247650146","0.5293195247650146"
"490","1.2117468118667603","1.2117468118667603","1.2117468118667603","0.7494746446609497","0.7494746446609497","0.7494746446609497","0.485755056142807","0.485755056142807","0.485755056142807"
"539","1.1441352367401123","1.1441352367401123","1.1441352367401123","0.6880764961242676","0.6880764961242676","0.6880764961242676","0.4611896872520447","0.4611896872520447","0.4611896872520447"
"588","1.0994027853012085","1.0994027853012085","1.0994027853012085","0.6602345705032349","0.6602345705032349","0.6602345705032349","0.4457646906375885","0.4457646906375885","0.4457646906375885"
"637","1.0487103462219238","1.0487103462219238","1.0487103462219238","0.6298847198486328","0.6298847198486328","0.6298847198486328","0.42169320583343506","0.42169320583343506","0.42169320583343506"
"686","1.0047838687896729","1.0047838687896729","1.0047838687896729","0.608810544013977","0.608810544013977","0.608810544013977","0.38234952092170715","0.38234952092170715","0.38234952092170715"
"735","0.9954273104667664","0.9954273104667664","0.9954273104667664","0.5779858827590942","0.5779858827590942","0.5779858827590942","0.3748196065425873","0.3748196065425873","0.3748196065425873"
"784","0.9428353905677795","0.9428353905677795","0.9428353905677795","0.5425078868865967","0.5425078868865967","0.5425078868865967","0.3492206931114197","0.3492206931114197","0.3492206931114197"
"833","0.9064136743545532","0.9064136743545532","0.9064136743545532","0.5145432353019714","0.5145432353019714","0.5145432353019714","0.34091371297836304","0.34091371297836304","0.34091371297836304"
"882","0.8790388703346252","0.8790388703346252","0.8790388703346252","0.493070513010025","0.493070513010025","0.493070513010025","0.3266046345233917","0.3266046345233917","0.3266046345233917"
"931","0.8419947028160095","0.8419947028160095","0.8419947028160095","0.4645038843154907","0.4645038843154907","0.4645038843154907","0.3052643835544586","0.3052643835544586","0.3052643835544586"
"980","0.8104047179222107","0.8104047179222107","0.8104047179222107","0.4507773518562317","0.4507773518562317","0.4507773518562317","0.2968078553676605","0.2968078553676605","0.2968078553676605"
"1029","0.8008003830909729","0.8008003830909729","0.8008003830909729","0.4384233355522156","0.4384233355522156","0.4384233355522156","0.28579840064048767","0.28579840064048767","0.28579840064048767"
"1078","0.7617922425270081","0.7617922425270081","0.7617922425270081","0.4126272201538086","0.4126272201538086","0.4126272201538086","0.26170480251312256","0.26170480251312256","0.26170480251312256"
"1127","0.7340757846832275","0.7340757846832275","0.7340757846832275","0.3911537528038025","0.3911537528038025","0.3911537528038025","0.26115402579307556","0.26115402579307556","0.26115402579307556"
"1176","0.7170363068580627","0.7170363068580627","0.7170363068580627","0.3809695243835449","0.3809695243835449","0.3809695243835449","0.24375522136688232","0.24375522136688232","0.24375522136688232"
"1225","0.6804481148719788","0.6804481148719788","0.6804481148719788","0.3588762879371643","0.3588762879371643","0.3588762879371643","0.22270365059375763","0.22270365059375763","0.22270365059375763"
"1274","0.6802442669868469","0.6802442669868469","0.6802442669868469","0.3528900146484375","0.3528900146484375","0.3528900146484375","0.21159261465072632","0.21159261465072632","0.21159261465072632"
"1323","0.6397722363471985","0.6397722363471985","0.6397722363471985","0.32501718401908875","0.32501718401908875","0.32501718401908875","0.20197463035583496","0.20197463035583496","0.20197463035583496"
"1372","0.6177164912223816","0.6177164912223816","0.6177164912223816","0.32007932662963867","0.32007932662963867","0.32007932662963867","0.19609412550926208","0.19609412550926208","0.19609412550926208"
"1421","0.6195895075798035","0.6195895075798035","0.6195895075798035","0.2983228862285614","0.2983228862285614","0.2983228862285614","0.18411044776439667","0.18411044776439667","0.18411044776439667"
"1470","0.5903763771057129","0.5903763771057129","0.5903763771057129","0.2923300862312317","0.2923300862312317","0.2923300862312317","0.1767071634531021","0.1767071634531021","0.1767071634531021"
"1519","0.5509862899780273","0.5509862899780273","0.5509862899780273","0.2783728837966919","0.2783728837966919","0.2783728837966919","0.15524643659591675","0.15524643659591675","0.15524643659591675"
"1568","0.5433986186981201","0.5433986186981201","0.5433986186981201","0.2597842812538147","0.2597842812538147","0.2597842812538147","0.15257355570793152","0.15257355570793152","0.15257355570793152"
"1617","0.5141263008117676","0.5141263008117676","0.5141263008117676","0.2546050250530243","0.2546050250530243","0.2546050250530243","0.14441530406475067","0.14441530406475067","0.14441530406475067"
"1666","0.5020063519477844","0.5020063519477844","0.5020063519477844","0.23978236317634583","0.23978236317634583","0.23978236317634583","0.13198162615299225","0.13198162615299225","0.13198162615299225"
"1715","0.4899604022502899","0.4899604022502899","0.4899604022502899","0.22197695076465607","0.22197695076465607","0.22197695076465607","0.12975460290908813","0.12975460290908813","0.12975460290908813"
"1764","0.4690108299255371","0.4690108299255371","0.4690108299255371","0.21502096951007843","0.21502096951007843","0.21502096951007843","0.11613226681947708","0.11613226681947708","0.11613226681947708"
"1813","0.45551541447639465","0.45551541447639465","0.45551541447639465","0.2104455530643463","0.2104455530643463","0.2104455530643463","0.11937367916107178","0.11937367916107178","0.11937367916107178"
"1862","0.44413453340530396","0.44413453340530396","0.44413453340530396","0.20362065732479095","0.20362065732479095","0.20362065732479095","0.11197519302368164","0.11197519302368164","0.11197519302368164"
"1911","0.42055758833885193","0.42055758833885193","0.42055758833885193","0.18454819917678833","0.18454819917678833","0.18454819917678833","0.10497013479471207","0.10497013479471207","0.10497013479471207"
"1960","0.4057271182537079","0.4057271182537079","0.4057271182537079","0.17958204448223114","0.17958204448223114","0.17958204448223114","0.0989721268415451","0.0989721268415451","0.0989721268415451"
"2009","0.3972983658313751","0.3972983658313751","0.3972983658313751","0.173831507563591","0.173831507563591","0.173831507563591","0.09302446246147156","0.09302446246147156","0.09302446246147156"
"2058","0.37352657318115234","0.37352657318115234","0.37352657318115234","0.16494953632354736","0.16494953632354736","0.16494953632354736","0.08779409527778625","0.08779409527778625","0.08779409527778625"
"2107","0.36721155047416687","0.36721155047416687","0.36721155047416687","0.1539810299873352","0.1539810299873352","0.1539810299873352","0.08424635231494904","0.08424635231494904","0.08424635231494904"
"2156","0.35360226035118103","0.35360226035118103","0.35360226035118103","0.15553423762321472","0.15553423762321472","0.15553423762321472","0.0793401375412941","0.0793401375412941","0.0793401375412941"
"2205","0.34335124492645264","0.34335124492645264","0.34335124492645264","0.14387540519237518","0.14387540519237518","0.14387540519237518","0.08471285551786423","0.08471285551786423","0.08471285551786423"
"2254","0.3361809253692627","0.3361809253692627","0.3361809253692627","0.140151247382164","0.140151247382164","0.140151247382164","0.06675971299409866","0.06675971299409866","0.06675971299409866"
"2303","0.33203938603401184","0.33203938603401184","0.33203938603401184","0.13490808010101318","0.13490808010101318","0.13490808010101318","0.06896214187145233","0.06896214187145233","0.06896214187145233"
"2352","0.30934983491897583","0.30934983491897583","0.30934983491897583","0.1207486167550087","0.1207486167550087","0.1207486167550087","0.06441312283277512","0.06441312283277512","0.06441312283277512"
"2401","0.297376424074173","0.297376424074173","0.297376424074173","0.12094177305698395","0.12094177305698395","0.12094177305698395","0.06413951516151428","0.06413951516151428","0.06413951516151428"
"2450","0.29256072640419006","0.29256072640419006","0.29256072640419006","0.11444305628538132","0.11444305628538132","0.11444305628538132","0.05774915963411331","0.05774915963411331","0.05774915963411331"
"2499","0.29150912165641785","0.29150912165641785","0.29150912165641785","0.11044289171695709","0.11044289171695709","0.11044289171695709","0.053019508719444275","0.053019508719444275","0.053019508719444275"
"2548","0.2709867060184479","0.2709867060184479","0.2709867060184479","0.09756919741630554","0.09756919741630554","0.09756919741630554","0.0503903292119503","0.0503903292119503","0.0503903292119503"
"2597","0.26914262771606445","0.26914262771606445","0.26914262771606445","0.10408958047628403","0.10408958047628403","0.10408958047628403","0.04823824763298035","0.04823824763298035","0.04823824763298035"
"2646","0.2539688050746918","0.2539688050746918","0.2539688050746918","0.09006889164447784","0.09006889164447784","0.09006889164447784","0.04735438898205757","0.04735438898205757","0.04735438898205757"
"2695","0.24547888338565826","0.24547888338565826","0.24547888338565826","0.09135229885578156","0.09135229885578156","0.09135229885578156","0.03780202940106392","0.03780202940106392","0.03780202940106392"
"2744","0.2404920607805252","0.2404920607805252","0.2404920607805252","0.07660084217786789","0.07660084217786789","0.07660084217786789","0.041155241429805756","0.041155241429805756","0.041155241429805756"
"2793","0.2311941236257553","0.2311941236257553","0.2311941236257553","0.07667873799800873","0.07667873799800873","0.07667873799800873","0.039242908358573914","0.039242908358573914","0.039242908358573914"
"2842","0.22407814860343933","0.22407814860343933","0.22407814860343933","0.07475930452346802","0.07475930452346802","0.07475930452346802","0.03643538057804108","0.03643538057804108","0.03643538057804108"
"2891","0.22422443330287933","0.22422443330287933","0.22422443330287933","0.06699267774820328","0.06699267774820328","0.06699267774820328","0.03194505721330643","0.03194505721330643","0.03194505721330643"
"2940","0.20050550997257233","0.20050550997257233","0.20050550997257233","0.06479691714048386","0.06479691714048386","0.06479691714048386","0.027832118794322014","0.027832118794322014","0.027832118794322014"
"2989","0.1867530196905136","0.1867530196905136","0.1867530196905136","0.06110314652323723","0.06110314652323723","0.06110314652323723","0.02611844427883625","0.02611844427883625","0.02611844427883625"
"3038","0.18236364424228668","0.18236364424228668","0.18236364424228668","0.0574139803647995","0.0574139803647995","0.0574139803647995","0.02314930222928524","0.02314930222928524","0.02314930222928524"
"3087","0.1870608627796173","0.1870608627796173","0.1870608627796173","0.05377219617366791","0.05377219617366791","0.05377219617366791","0.02343052625656128","0.02343052625656128","0.02343052625656128"
"3136","0.1782281994819641","0.1782281994819641","0.1782281994819641","0.05088547244668007","0.05088547244668007","0.05088547244668007","0.02063613571226597","0.02063613571226597","0.02063613571226597"
"3185","0.16083389520645142","0.16083389520645142","0.16083389520645142","0.046930041164159775","0.046930041164159775","0.046930041164159775","0.018028222024440765","0.018028222024440765","0.018028222024440765"
"3234","0.1547222137451172","0.1547222137451172","0.1547222137451172","0.03993749991059303","0.03993749991059303","0.03993749991059303","0.01784665882587433","0.01784665882587433","0.01784665882587433"
"3283","0.13729508221149445","0.13729508221149445","0.13729508221149445","0.04120907559990883","0.04120907559990883","0.04120907559990883","0.018204184249043465","0.018204184249043465","0.018204184249043465"
"3332","0.135593980550766","0.135593980550766","0.135593980550766","0.03331921994686127","0.03331921994686127","0.03331921994686127","0.01680285856127739","0.01680285856127739","0.01680285856127739"
"3381","0.13601547479629517","0.13601547479629517","0.13601547479629517","0.03418587148189545","0.03418587148189545","0.03418587148189545","0.01252664066851139","0.01252664066851139","0.01252664066851139"
"3430","0.12068008631467819","0.12068008631467819","0.12068008631467819","0.02943229116499424","0.02943229116499424","0.02943229116499424","0.010719610378146172","0.010719610378146172","0.010719610378146172"
"3479","0.11650560051202774","0.11650560051202774","0.11650560051202774","0.028293447569012642","0.028293447569012642","0.028293447569012642","0.010326053015887737","0.010326053015887737","0.010326053015887737"
"3528","0.10512816905975342","0.10512816905975342","0.10512816905975342","0.02566157653927803","0.02566157653927803","0.02566157653927803","0.008964471518993378","0.008964471518993378","0.008964471518993378"
"3577","0.09931791573762894","0.09931791573762894","0.09931791573762894","0.018780190497636795","0.018780190497636795","0.018780190497636795","0.008619165048003197","0.008619165048003197","0.008619165048003197"
"3626","0.09220750629901886","0.09220750629901886","0.09220750629901886","0.01623080112040043","0.01623080112040043","0.01623080112040043","0.0074727460741996765","0.0074727460741996765","0.0074727460741996765"
"3675","0.08957036584615707","0.08957036584615707","0.08957036584615707","0.01678895391523838","0.01678895391523838","0.01678895391523838","0.0074725826270878315","0.0074725826270878315","0.0074725826270878315"
"3724","0.08008548617362976","0.08008548617362976","0.08008548617362976","0.015318240970373154","0.015318240970373154","0.015318240970373154","0.006785443518310785","0.006785443518310785","0.006785443518310785"
"3773","0.07018458843231201","0.07018458843231201","0.07018458843231201","0.01460634171962738","0.01460634171962738","0.01460634171962738","0.0044731926172971725","0.0044731926172971725","0.0044731926172971725"
"3822","0.06700002402067184","0.06700002402067184","0.06700002402067184","0.013767682947218418","0.013767682947218418","0.013767682947218418","0.0030763440299779177","0.0030763440299779177","0.0030763440299779177"
"3871","0.064275361597538","0.064275361597538","0.064275361597538","0.01230075117200613","0.01230075117200613","0.01230075117200613","0.002809982979670167","0.002809982979670167","0.002809982979670167"
"3920","0.05711916834115982","0.05711916834115982","0.05711916834115982","0.008970147930085659","0.008970147930085659","0.008970147930085659","0.0017939131939783692","0.0017939131939783692","0.0017939131939783692"
"3969","0.049709174782037735","0.049709174782037735","0.049709174782037735","0.006201837677508593","0.006201837677508593","0.006201837677508593","0.0017637863056734204","0.0017637863056734204","0.0017637863056734204"
"4018","0.047682780772447586","0.047682780772447586","0.047682780772447586","0.006458317395299673","0.006458317395299673","0.006458317395299673","0.001754052471369505","0.001754052471369505","0.001754052471369505"
"4067","0.041758712381124496","0.041758712381124496","0.041758712381124496","0.0054310900159180164","0.0054310900159180164","0.0054310900159180164","0.001625913311727345","0.001625913311727345","0.001625913311727345"
"4116","0.038442980498075485","0.038442980498075485","0.038442980498075485","0.004771349485963583","0.004771349485963583","0.004771349485963583","0.001021173200570047","0.001021173200570047","0.001021173200570047"
"4165","0.03606848418712616","0.03606848418712616","0.03606848418712616","0.003605682635679841","0.003605682635679841","0.003605682635679841","0.001548161031678319","0.001548161031678319","0.001548161031678319"
"4214","0.0312691256403923","0.0312691256403923","0.0312691256403923","0.0033701045904308558","0.0033701045904308558","0.0033701045904308558","0.0010660241823643446","0.0010660241823643446","0.0010660241823643446"
"4263","0.029235148802399635","0.029235148802399635","0.029235148802399635","0.0028757706750184298","0.0028757706750184298","0.0028757706750184298","0.0011931429617106915","0.0011931429617106915","0.0011931429617106915"
"4312","0.02571972645819187","0.02571972645819187","0.02571972645819187","0.0024802708066999912","0.0024802708066999912","0.0024802708066999912","0.0011197613785043359","0.0011197613785043359","0.0011197613785043359"
"4361","0.023744260892271996","0.023744260892271996","0.023744260892271996","0.002168698003515601","0.002168698003515601","0.002168698003515601","0.0009167498210445046","0.0009167498210445046","0.0009167498210445046"
"4410","0.02104189433157444","0.02104189433157444","0.02104189433157444","0.002538214670494199","0.002538214670494199","0.002538214670494199","0.0005122867878526449","0.0005122867878526449","0.0005122867878526449"
"4459","0.020204026252031326","0.020204026252031326","0.020204026252031326","0.0017134916270151734","0.0017134916270151734","0.0017134916270151734","0.0005985737079754472","0.0005985737079754472","0.0005985737079754472"
"4508","0.017429988831281662","0.017429988831281662","0.017429988831281662","0.0018004305893555284","0.0018004305893555284","0.0018004305893555284","0.0005023604026064277","0.0005023604026064277","0.0005023604026064277"
"4557","0.01612510159611702","0.01612510159611702","0.01612510159611702","0.0016629716847091913","0.0016629716847091913","0.0016629716847091913","0.0006817525718361139","0.0006817525718361139","0.0006817525718361139"
"4606","0.016939373686909676","0.016939373686909676","0.016939373686909676","0.0015329249436035752","0.0015329249436035752","0.0015329249436035752","0.0004981704405508935","0.0004981704405508935","0.0004981704405508935"
"4655","0.015277570113539696","0.015277570113539696","0.015277570113539696","0.0014429931761696935","0.0014429931761696935","0.0014429931761696935","0.000373244023649022","0.000373244023649022","0.000373244023649022"
"4704","0.013869511894881725","0.013869511894881725","0.013869511894881725","0.0016571504529565573","0.0016571504529565573","0.0016571504529565573","0.0003805140731856227","0.0003805140731856227","0.0003805140731856227"
"4753","0.01397101953625679","0.01397101953625679","0.01397101953625679","0.0015056473203003407","0.0015056473203003407","0.0015056473203003407","0.0004198480455670506","0.0004198480455670506","0.0004198480455670506"
"4802","0.014070071280002594","0.014070071280002594","0.014070071280002594","0.0013948805863037705","0.0013948805863037705","0.0013948805863037705","0.0005266442894935608","0.0005266442894935608","0.0005266442894935608"
"4851","0.012881189584732056","0.012881189584732056","0.012881189584732056","0.0011749215191230178","0.0011749215191230178","0.0011749215191230178","0.00043900820310227573","0.00043900820310227573","0.00043900820310227573"
"4900","0.013570145703852177","0.013570145703852177","0.013570145703852177","0.0012927441857755184","0.0012927441857755184","0.0012927441857755184","0.000526593707036227","0.000526593707036227","0.000526593707036227"